Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,0.9581536803202957,0.9646009727976941,0.9391388231167237,0.9516996223061542,0.9929112623111174
Gradient Boosting,0.9494918386202649,0.9549184023081778,0.9287906691221608,0.9416733351115854,0.9903791986852198
Decision Tree,0.9453341546042501,0.9456298544772788,0.9288783653424537,0.9371792603079101,0.9869113977940451
SVM (linear kernel),0.8725746843239913,0.8804174109241327,0.8212751030430588,0.8498185117967332,0.9253777708911001
Logistic Regression,0.8604866030181706,0.8486152191449314,0.8303078137332282,0.8393617021276596,0.9199848083885127
Naive Bayes,0.8525177086541423,0.8453119299525721,0.8127685696746471,0.82872088344436,0.9139696769181099
